timestamp,open,high,low,close,adjusted close,volume,dividend amount
2015-07-10,542.2500,559.2900,539.8500,556.1100,27.8055,8003585,0.0000
2015-07-02,546.7500,550.9000,539.5400,547.3400,27.3670,6557466,0.0000
2015-06-26,559.4100,565.6100,551.8500,553.0600,27.6530,8272556,0.0000
2015-06-19,542.7300,557.9100,539.2100,557.5200,27.8760,9229971,0.0000
2015-06-12,549.6100,554.8300,538.8506,547.4700,27.3735,6950410,0.0000
2015-06-05,548.7300,558.7900,543.5800,549.5300,27.4765,7151965,0.0000
2015-05-29,552.5800,555.7600,542.9700,545.3200,27.2660,6965546,0.0000
2015-05-22,543.8200,558.2400,542.2500,554.5200,27.7260,8155292,0.0000
2015-05-15,548.4900,553.3699,535.0000,546.4900,27.3245,7327776,0.0000
2015-05-08,550.9900,556.6900,532.2350,548.9500,27.4475,8144581,0.0000
2015-05-01,572.7700,575.5200,543.8500,551.1600,27.5580,10134546,0.0000
2015-04-24,533.7500,584.7000,533.3500,573.6600,28.6830,13490329,0.0000
2015-04-17,547.0500,553.2700,529.0000,532.7400,26.6370,10222479,0.0000
2015-04-10,538.8400,551.5000,535.7000,548.5400,27.4270,7394644,0.0000
2015-04-02,560.2500,562.4500,540.4400,541.3100,27.0655,7319081,0.0000
2015-03-27,566.0000,581.8800,556.9300,557.5500,27.8775,12342751,0.0000
2015-03-20,556.9300,567.1000,551.3200,564.9500,28.2475,8502542,0.0000
2015-03-13,570.9200,575.4500,550.3300,553.0000,27.6500,8755837,0.0000
2015-03-06,567.0000,583.2000,563.1500,572.9000,28.6450,10620242,0.0000
2015-02-27,539.0000,569.4200,531.0000,562.6300,28.1315,11226505,0.0000
2015-02-20,551.1600,553.0000,538.1000,541.8000,27.0900,6970233,0.0000
2015-02-13,531.0600,552.5400,527.5500,551.1600,27.5580,10601126,0.0000
2015-02-06,534.3200,540.2150,521.7200,533.8750,26.6938,11622462,0.0000
2015-01-30,541.5000,543.1000,503.4800,537.5500,26.8775,15301382,0.0000
2015-01-23,512.7700,545.4100,509.3700,541.9500,27.0975,9763092,0.0000
2015-01-16,499.2400,510.8500,490.9100,510.4550,25.5227,13586732,0.0000
2015-01-09,527.1500,527.9899,495.0200,500.7200,25.0360,12864434,0.0000
2015-01-02,540.5000,543.9300,527.8800,529.5500,26.4775,5831578,0.0000
2014-12-26,520.6100,543.2500,520.5900,541.5200,27.0760,8047995,0.0000
2014-12-19,523.7600,525.3700,497.1900,520.0400,26.0020,19360087,0.0000
2014-12-12,529.2200,539.3600,521.4600,521.5100,26.0755,12161668,0.0000
2014-12-05,545.0900,548.7900,527.2600,528.0800,26.4040,10396156,0.0000
2014-11-28,546.5700,552.5000,544.1500,549.0800,27.4540,6247717,0.0000
2014-11-21,555.1900,555.1900,539.1900,545.8900,27.2945,9276819,0.0000
2014-11-14,552.4000,562.5000,551.6200,555.1900,27.7595,6434823,0.0000
2014-11-07,563.5300,567.1500,549.3500,551.8200,27.5910,7815963,0.0000
2014-10-31,547.7600,568.7300,547.2000,567.8700,28.3935,9345438,0.0000
2014-10-24,520.4500,557.4000,519.1400,548.9000,27.4450,12513965,0.0000
2014-10-17,555.1300,560.8750,518.4100,522.9700,26.1485,19006549,0.0000
2014-10-10,589.9500,592.4000,555.0100,555.1900,27.7595,10435844,0.0000
2014-10-03,581.8300,591.0000,574.0500,586.2500,29.3125,6917884,0.0000
2014-09-26,602.5000,603.8000,584.7400,587.9000,29.3950,7891133,0.0000
2014-09-19,582.2400,605.4000,577.0100,605.4000,30.2700,10530600,0.0000
2014-09-12,599.1400,603.5200,583.2800,584.9000,29.2450,7683400,0.0000
2014-09-05,582.9500,598.5000,582.4000,597.7800,29.8890,6591900,0.0000
2014-08-29,594.7700,595.5800,577.8800,582.3600,29.1180,6743800,0.0000
2014-08-22,587.1000,597.8100,586.5500,592.5400,29.6270,5485700,0.0000
2014-08-15,579.0000,589.4700,569.9100,583.7100,29.1855,7461500,0.0000
2014-08-08,576.5100,583.8200,567.4500,577.9400,28.8970,7142300,0.0000
2014-08-01,597.7500,601.0980,570.3000,573.6000,28.6800,8462600,0.0000
2014-07-25,601.3500,608.9100,594.4500,598.0800,29.9040,7940500,0.0000
2014-07-18,590.6000,606.7000,576.8500,605.1100,30.2555,12873100,0.0000
2014-07-11,593.5100,595.6450,572.1001,586.6500,29.3325,7782500,0.0000
2014-07-03,586.7600,594.2500,583.2900,593.0800,29.6540,5216800,0.0000
2014-06-27,564.3500,589.6000,563.5000,585.6900,29.2845,10705400,0.0000
2014-06-20,557.2500,566.7700,547.4700,566.5200,28.3260,11264700,0.0000
2014-06-13,566.7500,572.0000,553.7200,560.3500,28.0175,7042300,0.0000
2014-06-06,569.7500,570.4100,548.5600,566.0300,28.3015,8954500,0.0000
2014-05-30,567.7800,577.6600,564.1500,571.6500,28.5825,7050200,0.0000
2014-05-23,528.8800,565.0000,525.6600,563.8000,28.1900,10788700,0.0000
2014-05-16,531.8400,543.9900,523.5700,528.3000,26.4150,8981900,0.0000
2014-05-09,530.2400,535.7200,511.0900,526.6200,26.3310,10850900,0.0000
2014-05-02,525.8000,542.4000,511.0000,533.8700,26.6935,12111600,0.0000
2014-04-25,544.0000,547.9950,522.5000,523.1000,26.1550,11149300,0.0000
2014-04-17,543.6600,564.0000,530.6400,543.3400,27.1670,16735900,0.0000
2014-04-11,544.7900,568.2100,530.5300,537.7600,26.8880,16944900,0.0000
2014-04-04,1130.4000,1144.8000,544.4940,545.2500,27.2625,19611700,567.9717
2014-03-28,1184.1900,1184.9000,1102.1000,1120.1500,28.0905,28188300,0.0000
2014-03-21,1179.2500,1211.9900,1178.1100,1183.0400,29.6676,20945100,0.0000
2014-03-14,1215.6900,1217.6400,1172.5300,1172.8000,29.4108,19043500,0.0000
2014-03-07,1206.7500,1226.9900,1192.1400,1214.7900,30.4638,15166500,0.0000
2014-02-28,1205.3600,1228.8800,1205.1000,1215.6500,30.4854,17320000,0.0000
2014-02-21,1201.4100,1212.8700,1197.5000,1203.7900,30.1879,15535300,0.0000
2014-02-14,1171.8000,1204.3900,1169.0200,1202.8000,30.1631,19467500,0.0000
2014-02-07,1179.2000,1181.7200,1128.0200,1177.4400,29.5271,28687700,0.0000
2014-01-31,1126.1000,1186.5400,1082.2700,1180.9700,29.6157,39163300,0.0000
2014-01-24,1160.9300,1167.8900,1123.0000,1123.8300,28.1827,18766900,0.0000
2014-01-17,1126.4700,1160.6300,1117.1700,1150.5300,28.8523,22451000,0.0000
2014-01-10,1113.0100,1147.3200,1106.4400,1130.1800,28.3420,21563000,0.0000
2014-01-03,1120.3400,1121.0000,1104.9300,1105.0000,27.7105,12151800,0.0000
2013-12-27,1107.8400,1120.2800,1105.1200,1118.4000,28.0466,10715700,0.0000
2013-12-20,1064.0000,1101.1700,1059.0400,1100.6200,27.6007,20529700,0.0000
2013-12-13,1070.9900,1092.3100,1057.8800,1060.7900,26.6019,17596500,0.0000
2013-12-06,1063.5100,1070.0000,1049.0200,1069.8700,26.8296,13593000,0.0000
2013-11-29,1037.1600,1068.0000,1035.0200,1059.5900,26.5718,12418800,0.0000
2013-11-22,1035.7500,1048.7400,1020.3600,1031.8900,25.8771,12389300,0.0000
2013-11-15,1009.5100,1039.7500,1005.0000,1033.5600,25.9190,12693200,0.0000
2013-11-08,1031.5000,1032.3700,1007.6400,1016.0300,25.4794,12394400,0.0000
2013-11-01,1015.2000,1041.5200,1012.9800,1027.0400,25.7555,14007900,0.0000
2013-10-25,1011.4600,1040.5700,995.7910,1015.2000,25.4586,25219900,0.0000
2013-10-18,866.6600,1015.4600,865.3900,1011.4100,25.3635,41290600,0.0000
2013-10-11,867.4500,873.9900,842.9800,871.9900,21.8673,19086200,0.0000
2013-10-04,869.0800,894.1000,868.3100,872.3500,21.8763,16738000,0.0000
2013-09-27,896.1500,901.5900,871.3100,876.3900,21.9776,14848700,0.0000
